metric,map,fqband,rho,p
original,CMRglu,delta,-0.028078817733990142,0.8850377440270285
original,CMRglu,theta,0.001970443349753694,0.9919060867792221
original,CMRglu,alpha,0.1635467980295566,0.3965967598103598
original,CMRglu,beta,0.06157635467980294,0.7510054015123319
original,CMRglu,lgamma,0.23842364532019697,0.21293700942107485
original,CMRglu,hgamma,0.4655172413793103,0.010932889603303471
original,SV2A,delta,0.0004926108374384235,0.9979764910054804
original,SV2A,theta,-0.1133004926108374,0.5584180322851668
original,SV2A,alpha,-0.21477832512315267,0.263200024950394
original,SV2A,beta,-0.09802955665024629,0.6129229431611378
original,SV2A,lgamma,0.33645320197044326,0.07432662204807469
original,SV2A,hgamma,0.13300492610837436,0.49157054811335577
original,HDAC,delta,0.11970443349753691,0.5362437826663684
original,HDAC,theta,-0.1088669950738916,0.5740113022086788
original,HDAC,alpha,0.002955665024630541,0.9878593756762406
original,HDAC,beta,0.06157635467980294,0.7510054015123319
original,HDAC,lgamma,-0.0014778325123152706,0.9939295221196491
original,HDAC,hgamma,-0.029064039408866992,0.8810318287809618
original,VMAT2,delta,-0.2448275862068965,0.20053516398805937
original,VMAT2,theta,0.04581280788177339,0.8134473208030193
original,VMAT2,alpha,0.11231527093596057,0.5618663606136753
original,VMAT2,beta,-0.2743842364532019,0.14974761333951245
original,VMAT2,lgamma,0.44334975369458113,0.016002587896314535
original,VMAT2,hgamma,0.4172413793103448,0.024328269812109185
original,mGluR5,delta,0.13694581280788173,0.4787064944087561
original,mGluR5,theta,0.11231527093596057,0.5618663606136753
original,mGluR5,alpha,0.32955665024630537,0.08084603649667131
original,mGluR5,beta,0.07586206896551723,0.695705520575608
original,mGluR5,lgamma,0.32955665024630537,0.08084603649667131
original,mGluR5,hgamma,0.32758620689655166,0.08278682478282431
original,NMDA,delta,0.011330049261083741,0.953484128536159
original,NMDA,theta,-0.017241379310344827,0.9292647452546765
original,NMDA,alpha,-0.0985221674876847,0.6111306061691774
original,NMDA,beta,-0.22955665024630537,0.23095540753826094
original,NMDA,lgamma,0.49064039408866983,0.006886161359094496
original,NMDA,hgamma,0.4596059113300492,0.01213081153322674
original,GABAa,delta,-0.1842364532019704,0.33870573513858016
original,GABAa,theta,-0.19014778325123147,0.3231587740537455
original,GABAa,alpha,0.06847290640394087,0.724138852207776
original,GABAa,beta,0.07290640394088668,0.7070329922890148
original,GABAa,lgamma,-0.15123152709359602,0.4335665498523821
original,GABAa,hgamma,-0.23103448275862065,0.22788359136783257
original,GABAa5,delta,-0.2576354679802955,0.17724418226448455
original,GABAa5,theta,0.028571428571428564,0.8830344337310125
original,GABAa5,alpha,-0.06650246305418718,0.7317839335224273
original,GABAa5,beta,-0.12807881773399013,0.5078931884210848
original,GABAa5,lgamma,0.11871921182266006,0.539627798193789
original,GABAa5,hgamma,0.267487684729064,0.1606713072249308
original,NET,delta,0.05369458128078817,0.7820607393959156
original,NET,theta,0.0586206896551724,0.7626094680984032
original,NET,alpha,-0.38817733990147774,0.03744863607196556
original,NET,beta,0.20640394088669947,0.2827119601590505
original,NET,lgamma,-0.09507389162561573,0.623722573659187
original,NET,hgamma,-0.03497536945812807,0.8570599153351915
original,A4B2,delta,0.13694581280788173,0.4787064944087561
original,A4B2,theta,0.13054187192118222,0.4996984985843257
original,A4B2,alpha,-0.13497536945812805,0.4851167413080266
original,A4B2,beta,0.07142857142857141,0.7127199331498776
original,A4B2,lgamma,0.011822660098522165,0.9514640050782379
original,A4B2,hgamma,0.19852216748768467,0.3018989554532927
original,M1,delta,0.08768472906403939,0.6510536024486941
original,M1,theta,-0.06206896551724137,0.7490764687819293
original,M1,alpha,-0.16995073891625612,0.37810582607040244
original,M1,beta,0.06748768472906402,0.7279582013097146
original,M1,lgamma,0.33103448275862063,0.07941345176271478
original,M1,hgamma,0.11527093596059108,0.5515506379858526
original,VAChT,delta,0.11773399014778321,0.5430218653263681
original,VAChT,theta,-0.05911330049261083,0.7606718835048377
original,VAChT,alpha,0.01970443349753694,0.9191903261345236
original,VAChT,beta,0.0586206896551724,0.7626094680984032
original,VAChT,lgamma,-0.04926108374384235,0.7996778546381467
original,VAChT,hgamma,0.18719211822660095,0.3308765430478787
original,FDOPA,delta,-0.3088669950738916,0.10304247740343017
original,FDOPA,theta,-0.06453201970443348,0.7394542125298722
original,FDOPA,alpha,-0.022660098522167483,0.907117287708886
original,FDOPA,beta,-0.34236453201970435,0.06906770492410086
original,FDOPA,lgamma,0.1571428571428571,0.41559187470402104
original,FDOPA,hgamma,0.23054187192118217,0.22890446372397505
original,D1,delta,-0.018719211822660092,0.9232187120998646
original,D1,theta,0.16699507389162557,0.38657700067785605
original,D1,alpha,0.08325123152709359,0.6676701120758934
original,D1,beta,-0.25369458128078815,0.18419807423105056
original,D1,lgamma,0.31921182266009845,0.09143465502768382
original,D1,hgamma,0.2655172413793103,0.16389405068476928
original,D23,delta,-0.2586206896551724,0.1755349218370582
original,D23,theta,-0.0669950738916256,0.7298702747415984
original,D23,alpha,-0.05566502463054186,0.7742640809900436
original,D23,beta,-0.49458128078817726,0.006384567892651842
original,D23,lgamma,0.07044334975369455,0.7165196355923088
original,D23,hgamma,0.10147783251231525,0.6004229677669772
original,DAT,delta,-0.3147783251231526,0.09628154802949013
original,DAT,theta,0.045320197044334966,0.8154189359769
original,DAT,alpha,0.12364532019704431,0.5228093409601546
original,DAT,beta,-0.4004926108374383,0.031327901873081467
original,DAT,lgamma,0.40689655172413786,0.02848086393722059
original,DAT,hgamma,0.44039408866995067,0.016806181141598386
original,5HT1a,delta,-0.29211822660098513,0.12412952629052428
original,5HT1a,theta,-0.02068965517241379,0.9151638955509213
original,5HT1a,alpha,-0.06995073891625614,0.7184219787053097
original,5HT1a,beta,-0.46403940886699496,0.011222659676377044
original,5HT1a,lgamma,0.16059113300492608,0.40530153423881365
original,5HT1a,hgamma,0.15418719211822657,0.4245267698662324
original,5HT1b,delta,0.1004926108374384,0.6039832894635095
original,5HT1b,theta,0.1408866995073891,0.4660181072637315
original,5HT1b,alpha,-0.06157635467980294,0.7510054015123319
original,5HT1b,beta,-0.06206896551724137,0.7490764687819293
original,5HT1b,lgamma,0.02758620689655172,0.887041747730547
original,5HT1b,hgamma,-0.07438423645320195,0.7013614306645616
original,5HT2a,delta,-0.06551724137931034,0.7356159652609899
original,5HT2a,theta,0.0901477832512315,0.6418917548846208
original,5HT2a,alpha,0.2428571428571428,0.20429689292588715
original,5HT2a,beta,0.10344827586206895,0.5933293306932129
original,5HT2a,lgamma,0.34926108374384224,0.06330177715735706
original,5HT2a,hgamma,0.3433497536945812,0.06821997665337338
original,5HT4,delta,-0.07438423645320195,0.7013614306645616
original,5HT4,theta,-0.01773399014778325,0.9272489564870263
original,5HT4,alpha,0.1906403940886699,0.32188333132055724
original,5HT4,beta,0.10295566502463052,0.5950993435567846
original,5HT4,lgamma,0.23152709359605908,0.2268657828258927
original,5HT4,hgamma,0.058128078817733984,0.7645484568231586
original,5HT6,delta,0.02118226600985221,0.9131514437916961
original,5HT6,theta,-0.04630541871921181,0.8114768200328777
original,5HT6,alpha,0.08866995073891623,0.6473828005629503
original,5HT6,beta,-0.07142857142857141,0.7127199331498776
original,5HT6,lgamma,0.25418719211822655,0.18331857707959748
original,5HT6,hgamma,0.17044334975369455,0.37670452897798334
original,5HTT,delta,-0.42315270935960586,0.022186734863098318
original,5HTT,theta,-0.18128078817733986,0.3466460343429787
original,5HTT,alpha,-0.14433497536945808,0.4550620357759735
original,5HTT,beta,-0.3128078817733989,0.09849690756659207
original,5HTT,lgamma,0.21477832512315267,0.263200024950394
original,5HTT,hgamma,0.23546798029556643,0.2188333702584981
original,MOR,delta,0.11625615763546797,0.5481316894711741
original,MOR,theta,0.2955665024630541,0.11954812472369088
original,MOR,alpha,0.23546798029556643,0.2188333702584981
original,MOR,beta,-0.16551724137931031,0.3908532089207225
original,MOR,lgamma,0.20985221674876844,0.2745686144198519
original,MOR,hgamma,0.3527093596059112,0.06056315503686841
original,KOR,delta,0.23004926108374377,0.2299284018173961
original,KOR,theta,-0.041871921182266,0.829250484585806
original,KOR,alpha,0.034482758620689655,0.8590531294076332
original,KOR,beta,0.10147783251231525,0.6004229677669772
original,KOR,lgamma,0.09901477832512312,0.6093404638385995
original,KOR,hgamma,0.2960591133004925,0.11890397681913818
original,CB1,delta,-0.07684729064039407,0.6919437425851316
original,CB1,theta,0.33645320197044326,0.07432662204807469
original,CB1,alpha,0.18275862068965515,0.34266201813832065
original,CB1,beta,-0.17536945812807878,0.36285842847797944
original,CB1,lgamma,0.0586206896551724,0.7626094680984032
original,CB1,hgamma,0.023152709359605905,0.905107008990093
inverted,CMRglu,delta,-0.06896551724137931,0.7222315973301038
inverted,CMRglu,theta,-0.07881773399014776,0.684441732767979
inverted,CMRglu,alpha,-0.1719211822660098,0.3725188052949504
inverted,CMRglu,beta,0.22709359605911325,0.23613651439257807
inverted,CMRglu,lgamma,0.17487684729064035,0.3642293473635895
inverted,CMRglu,hgamma,0.08571428571428569,0.6584191261984815
inverted,SV2A,delta,0.21083743842364527,0.2722699893378561
inverted,SV2A,theta,-0.04679802955665024,0.8095074450604085
inverted,SV2A,alpha,-0.396551724137931,0.03319142909169863
inverted,SV2A,beta,0.31083743842364525,0.10075043138607834
inverted,SV2A,lgamma,-0.013300492610837433,0.9454054484448566
inverted,SV2A,hgamma,-0.032512315270935954,0.8670343441310322
inverted,HDAC,delta,0.1339901477832512,0.4883382225851124
inverted,HDAC,theta,-0.16256157635467974,0.3994864516581882
inverted,HDAC,alpha,-0.27684729064039404,0.1459789349005753
inverted,HDAC,beta,0.13497536945812805,0.4851167413080266
inverted,HDAC,lgamma,-0.02118226600985221,0.9131514437916961
inverted,HDAC,hgamma,0.015270935960591127,0.9373320606476712
inverted,VMAT2,delta,0.20197044334975364,0.29340644071513033
inverted,VMAT2,theta,-0.11921182266009848,0.5379345304849434
inverted,VMAT2,alpha,-0.18226600985221672,0.3439869443590987
inverted,VMAT2,beta,0.29113300492610833,0.1254619116125949
inverted,VMAT2,lgamma,-0.0083743842364532,0.965610361799865
inverted,VMAT2,hgamma,-0.06403940886699507,0.7413756406285694
inverted,mGluR5,delta,0.16600985221674872,0.3894248052313538
inverted,mGluR5,theta,-0.06600985221674875,0.7336991671911346
inverted,mGluR5,alpha,-0.08472906403940884,0.662113699345471
inverted,mGluR5,beta,0.2669950738916256,0.16147272541272203
inverted,mGluR5,lgamma,-0.13103448275862067,0.4980675451523833
inverted,mGluR5,hgamma,-0.19113300492610832,0.32061099220778855
inverted,NMDA,delta,0.24532019704433491,0.19960223136798566
inverted,NMDA,theta,-0.08325123152709359,0.6676701120758934
inverted,NMDA,alpha,-0.39064039408866985,0.03615341876540557
inverted,NMDA,beta,0.3290640394088669,0.0813279351390293
inverted,NMDA,lgamma,-0.16059113300492608,0.40530153423881365
inverted,NMDA,hgamma,-0.14926108374384234,0.4396508913693242
inverted,GABAa,delta,0.15024630541871917,0.4366029616223077
inverted,GABAa,theta,-0.12068965517241378,0.5328698744250626
inverted,GABAa,alpha,-0.22463054187192114,0.24139457634527825
inverted,GABAa,beta,0.23152709359605908,0.2268657828258927
inverted,GABAa,lgamma,-0.07438423645320195,0.7013614306645616
inverted,GABAa,hgamma,-0.19408866995073887,0.31304218921480326
inverted,GABAa5,delta,0.24630541871921177,0.19774534597208415
inverted,GABAa5,theta,-0.05566502463054186,0.7742640809900436
inverted,GABAa5,alpha,-0.031034482758620686,0.8730287007942092
inverted,GABAa5,beta,0.13743842364532016,0.477110781256181
inverted,GABAa5,lgamma,-0.08719211822660097,0.6528920072716873
inverted,GABAa5,hgamma,-0.2118226600985221,0.269983822509751
inverted,NET,delta,-0.1339901477832512,0.4883382225851124
inverted,NET,theta,0.17487684729064035,0.3642293473635895
inverted,NET,alpha,-0.014778325123152707,0.9393498687559616
inverted,NET,beta,-0.14679802955665022,0.4473208707236457
inverted,NET,lgamma,-0.13891625615763545,0.47234016674594914
inverted,NET,hgamma,-0.12463054187192114,0.5194764063005015
inverted,A4B2,delta,0.0921182266009852,0.6345990363023872
inverted,A4B2,theta,0.0014778325123152706,0.9939295221196491
inverted,A4B2,alpha,0.05221674876847289,0.7879218626850963
inverted,A4B2,beta,0.3763546798029556,0.0441931128623803
inverted,A4B2,lgamma,0.08472906403940884,0.662113699345471
inverted,A4B2,hgamma,-0.04236453201970442,0.8272713891402577
inverted,M1,delta,0.15615763546798028,0.4185584651784069
inverted,M1,theta,-0.04088669950738915,0.8332117317373471
inverted,M1,alpha,-0.42019704433497523,0.023237317644193695
inverted,M1,beta,0.289655172413793,0.12748015207683205
inverted,M1,lgamma,-0.08226600985221673,0.6713839787887794
inverted,M1,hgamma,-0.1886699507389162,0.3270037129469253
inverted,VAChT,delta,0.10246305418719209,0.5968716261640159
inverted,VAChT,theta,-0.28275862068965507,0.13721430216343847
inverted,VAChT,alpha,-0.07438423645320195,0.7013614306645616
inverted,VAChT,beta,-0.030541871921182254,0.8750283652137651
inverted,VAChT,lgamma,0.002955665024630541,0.9878593756762406
inverted,VAChT,hgamma,-0.023152709359605905,0.905107008990093
inverted,FDOPA,delta,0.1694581280788177,0.3795101465496067
inverted,FDOPA,theta,-0.0985221674876847,0.6111306061691774
inverted,FDOPA,alpha,-0.19359605911330044,0.31429588608050496
inverted,FDOPA,beta,0.26009852216748763,0.17299282581121356
inverted,FDOPA,lgamma,-0.10591133004926105,0.5845135970990107
inverted,FDOPA,hgamma,-0.2157635467980295,0.26096364162004854
inverted,D1,delta,0.2753694581280787,0.1482318337004592
inverted,D1,theta,-0.030049261083743836,0.8770287826136492
inverted,D1,alpha,-0.2177339901477832,0.25652815944629687
inverted,D1,beta,0.2428571428571428,0.20429689292588715
inverted,D1,lgamma,-0.08029556650246304,0.678834388107278
inverted,D1,hgamma,-0.15123152709359602,0.4335665498523821
inverted,D23,delta,0.14926108374384234,0.4396508913693242
inverted,D23,theta,-0.13054187192118222,0.4996984985843257
inverted,D23,alpha,-0.4758620689655172,0.009074818278750582
inverted,D23,beta,0.17142857142857137,0.37391101590415354
inverted,D23,lgamma,-0.2467980295566502,0.19682138745185027
inverted,D23,hgamma,-0.28866995073891616,0.1288388121851059
inverted,DAT,delta,0.21280788177339893,0.26771010956847874
inverted,DAT,theta,-0.06354679802955664,0.74329859092808
inverted,DAT,alpha,-0.21034482758620687,0.2734177443471466
inverted,DAT,beta,0.30492610837438416,0.10774355319454677
inverted,DAT,lgamma,-0.2679802955665024,0.15987272746491207
inverted,DAT,hgamma,-0.26305418719211815,0.1679867324299598
inverted,5HT1a,delta,0.16059113300492608,0.40530153423881365
inverted,5HT1a,theta,-0.18916256157635464,0.3257189660095857
inverted,5HT1a,alpha,-0.10197044334975366,0.5986461703131429
inverted,5HT1a,beta,-0.0566502463054187,0.7703737389194727
inverted,5HT1a,lgamma,-0.3142857142857142,0.0968318296897271
inverted,5HT1a,hgamma,-0.3054187192118226,0.10714731818309525
inverted,5HT1b,delta,-0.2374384236453201,0.21489031338654074
inverted,5HT1b,theta,-0.11034482758620688,0.5687919814816487
inverted,5HT1b,alpha,-0.04827586206896551,0.8036061885881776
inverted,5HT1b,beta,-0.24088669950738908,0.2081067505065501
inverted,5HT1b,lgamma,-0.017241379310344827,0.9292647452546765
inverted,5HT1b,hgamma,-0.008866995073891625,0.9635887302144255
inverted,5HT2a,delta,0.14778325123152705,0.44424430383736335
inverted,5HT2a,theta,0.06305418719211821,0.7452230528157772
inverted,5HT2a,alpha,-0.23251231527093594,0.22483934932841254
inverted,5HT2a,beta,0.19556650246305415,0.3092997622069159
inverted,5HT2a,lgamma,-0.05467980295566501,0.7781597772035429
inverted,5HT2a,hgamma,-0.1689655172413793,0.3809174876263445
inverted,5HT4,delta,0.2660098522167487,0.16308409315220374
inverted,5HT4,theta,-0.01773399014778325,0.9272489564870263
inverted,5HT4,alpha,-0.3118226600985221,0.09961887650569692
inverted,5HT4,beta,0.22463054187192114,0.24139457634527825
inverted,5HT4,lgamma,-0.23300492610837434,0.22383072036314547
inverted,5HT4,hgamma,-0.27241379310344827,0.1528125630109759
inverted,5HT6,delta,0.12266009852216746,0.526152599437852
inverted,5HT6,theta,-0.10640394088669947,0.5827573729374917
inverted,5HT6,alpha,-0.34285714285714275,0.06864282672986498
inverted,5HT6,beta,0.2645320197044334,0.16552253284806515
inverted,5HT6,lgamma,-0.112807881773399,0.5601409833569135
inverted,5HT6,hgamma,-0.2009852216748768,0.29581728856900874
inverted,5HTT,delta,-0.06305418719211821,0.7452230528157772
inverted,5HTT,theta,-0.3724137931034482,0.046644523883471616
inverted,5HTT,alpha,-0.16206896551724134,0.40093576507361994
inverted,5HTT,beta,0.3142857142857142,0.0968318296897271
inverted,5HTT,lgamma,0.05566502463054186,0.7742640809900436
inverted,5HTT,hgamma,-0.07635467980295566,0.6938237420680635
inverted,MOR,delta,0.05763546798029554,0.7664888388040039
inverted,MOR,theta,-0.1408866995073891,0.4660181072637315
inverted,MOR,alpha,0.08965517241379309,0.6437200702998869
inverted,MOR,beta,0.07733990147783248,0.6900655320419373
inverted,MOR,lgamma,-0.29211822660098513,0.12412952629052428
inverted,MOR,hgamma,-0.24975369458128074,0.1913402292843798
inverted,KOR,delta,0.09605911330049259,0.6201140668918736
inverted,KOR,theta,0.022167487684729058,0.909128127792977
inverted,KOR,alpha,0.17881773399014775,0.35334755973811516
inverted,KOR,beta,0.06059113300492609,0.7548676629159325
inverted,KOR,lgamma,-0.09162561576354677,0.6364191164436648
inverted,KOR,hgamma,-0.19753694581280784,0.3043534339833452
inverted,CB1,delta,-0.09704433497536943,0.6165141670277832
inverted,CB1,theta,-0.2955665024630541,0.11954812472369088
inverted,CB1,alpha,-0.08916256157635466,0.6455504218989643
inverted,CB1,beta,-0.1172413793103448,0.5447226506761997
inverted,CB1,lgamma,-0.2448275862068965,0.20053516398805937
inverted,CB1,hgamma,-0.2699507389162561,0.15670671135883546
