parc,metric,map,Z,p,pmeff
Schaefer200,original,CMRglu,1.579265194166054,0.057137620886613984,0.3997694355792728
Schaefer200,original,SV2A,1.6727583482442736,0.047187438767269926,0.3425350335263726
Schaefer200,original,HDAC,0.7105935014176148,0.23866808564872982,0.9061233441332189
Schaefer200,original,VMAT2,0.7530979605323447,0.22569552494455564,0.8913027714954113
Schaefer200,original,mGluR5,3.110041079820814,0.0009353066303763833,0.00808548462785097
Schaefer200,original,NMDA,-0.15067096239609737,0.5598823598285936,0.9991915247246678
Schaefer200,original,GABAa,0.3060389169182947,0.37978750749751833,0.9841467342743594
Schaefer200,original,GABAa5,-0.3695051476100282,0.6441243815034272,0.9998720194091195
Schaefer200,original,NET,6.077113103034649,6.118272920954563e-10,5.3081032902468905e-09
Schaefer200,original,A4B2,0.599259613835238,0.274499887420667,0.9382103331197275
Schaefer200,original,M1,-1.1599195880148703,0.8769592266057424,0.9999999872523808
Schaefer200,original,VAChT,4.734452054816026,1.0982384202969115e-06,9.528079038201298e-06
Schaefer200,original,FDOPA,-1.4182765744167405,0.9219449834302812,0.999999999754151
Schaefer200,original,D1,0.3895183608297419,0.34844636551794694,0.9756855125042487
Schaefer200,original,D23,-1.183211001824518,0.8816372330892578,0.9999999908928852
Schaefer200,original,DAT,1.9240823183713038,0.02717213301352752,0.21258713078502223
Schaefer200,original,5HT1a,-0.9459990267227808,0.8279254586770033,0.9999997660006076
Schaefer200,original,5HT1b,0.8604025705750761,0.1947835846633718,0.8473436772838098
Schaefer200,original,5HT2a,1.8542328526209912,0.03185292694762621,0.2448563681378163
Schaefer200,original,5HT4,-0.6871403977519469,0.7540028704285286,0.9999948022131823
Schaefer200,original,5HT6,-0.7014661938467104,0.758493937548125,0.9999955700938181
Schaefer200,original,5HTT,2.269565826948603,0.01161696950451292,0.09640744348293451
Schaefer200,original,MOR,0.6976963468997109,0.2426835566157694,0.9103330704854025
Schaefer200,original,KOR,4.86691442314466,5.667704130076494e-07,4.917187568009851e-06
Schaefer200,original,CB1,0.21338092061658187,0.4155149304839741,0.9905252422662969
Schaefer200,inverted,CMRglu,0.9923726127592262,0.1605078968497345,0.7808296472478948
Schaefer200,inverted,SV2A,5.081380859999555,1.8735049661647272e-07,1.6254180754682324e-06
Schaefer200,inverted,HDAC,1.2782873510595187,0.10057406306896266,0.6013312953810318
Schaefer200,inverted,VMAT2,5.782812514743785,3.673096121852018e-09,3.1867121830231326e-08
Schaefer200,inverted,mGluR5,2.792003261517038,0.0026191414057619446,0.022496112274091318
Schaefer200,inverted,NMDA,3.3236561847492516,0.000444228283701606,0.003847480467237041
Schaefer200,inverted,GABAa,4.445544562777387,4.383475234430733e-06,3.802960370191677e-05
Schaefer200,inverted,GABAa5,5.486713830008812,2.0473984003137152e-08,1.7762859194636604e-07
Schaefer200,inverted,NET,-6.1358618609702,0.9999999995765063,1.0
Schaefer200,inverted,A4B2,0.5614169252524568,0.28725667428853174,0.9470245670741103
Schaefer200,inverted,M1,4.3201623274321825,7.795723352533668e-06,6.763227150363704e-05
Schaefer200,inverted,VAChT,-0.35827690635453685,0.6399319506787566,0.9998583317993037
Schaefer200,inverted,FDOPA,4.139704578908718,1.738766799385654e-05,0.00015084221689443122
Schaefer200,inverted,D1,4.510595892126313,3.232288487227613e-06,2.8042406249428886e-05
Schaefer200,inverted,D23,1.5212381189955058,0.06410004639645675,0.4371512999377325
Schaefer200,inverted,DAT,-1.4242038307916136,0.9228062618494164,0.9999999997767137
Schaefer200,inverted,5HT1a,2.4071590045721956,0.008038584177231299,0.06762774978219566
Schaefer200,inverted,5HT1b,1.5999863031205948,0.054800810985501595,0.38673963267095823
Schaefer200,inverted,5HT2a,6.024505011037717,8.481397478399053e-10,7.3583082960126944e-09
Schaefer200,inverted,5HT4,3.9413668263362154,4.0509306431288236e-05,0.0003513968281034785
Schaefer200,inverted,5HT6,4.981293471020464,3.158033454210918e-07,2.7398497597364013e-06
Schaefer200,inverted,5HTT,1.202800294549567,0.11452680540010063,0.651900480814992
Schaefer200,inverted,MOR,6.1358618609702,4.234936658798952e-10,3.6741550912822163e-09
Schaefer200,inverted,KOR,3.1129810315140207,0.0009260396044725552,0.00800565814023313
Schaefer200,inverted,CB1,5.805810480542981,3.2027692413733196e-09,2.7786650425021264e-08
Schaefer200Subcortical,original,CMRglu,1.0248619059372224,0.1527141756642158,0.7586837091075225
Schaefer200Subcortical,original,SV2A,1.148326222702411,0.12541695887887583,0.6832434508093719
Schaefer200Subcortical,original,HDAC,0.6838556598240999,0.2470331577316116,0.9123220310954707
Schaefer200Subcortical,original,VMAT2,1.6990889719866014,0.04465121047445681,0.3242059924157654
Schaefer200Subcortical,original,mGluR5,3.0285822157776163,0.0012285210545309926,0.010490247192539881
Schaefer200Subcortical,original,NMDA,0.6048374900475326,0.27264349042931035,0.9348424863720979
Schaefer200Subcortical,original,GABAa,0.2810670737654355,0.3893294774560346,0.9854624639082848
Schaefer200Subcortical,original,GABAa5,0.6726891449918021,0.2505725374413435,0.9157953215452737
Schaefer200Subcortical,original,NET,5.588808359009735,1.143165491462967e-08,9.806933909395354e-08
Schaefer200Subcortical,original,A4B2,0.8331501253692086,0.2023800334069848,0.8562750075892862
Schaefer200Subcortical,original,M1,-0.6539635288551982,0.7434323485610478,0.9999914554525606
Schaefer200Subcortical,original,VAChT,5.033268912777554,2.410929907828415e-07,2.0682753086864736e-06
Schaefer200Subcortical,original,FDOPA,0.813683914348768,0.20791302576677767,0.8646066059035424
Schaefer200Subcortical,original,D1,1.3356722497813662,0.09082821174024003,0.5581917393206182
Schaefer200Subcortical,original,D23,0.07931394502536368,0.4683914573591987,0.995574919755696
Schaefer200Subcortical,original,DAT,3.3635169554770297,0.0003847805444102829,0.0032961282520186375
Schaefer200Subcortical,original,5HT1a,-0.19843447453420604,0.5786474265441122,0.9993975406050323
Schaefer200Subcortical,original,5HT1b,0.8743755749762623,0.19095687720700888,0.8376277905779683
Schaefer200Subcortical,original,5HT2a,1.6135497599651512,0.0533125608608174,0.3749965313118828
Schaefer200Subcortical,original,5HT4,-0.569702168946093,0.7155601406298615,0.999979302445976
Schaefer200Subcortical,original,5HT6,-0.3745556226786614,0.6460045089386071,0.9998648042737243
Schaefer200Subcortical,original,5HTT,3.3645678538952337,0.00038331815452531686,0.00328361923949827
Schaefer200Subcortical,original,MOR,2.4615227134844067,0.00691743187061312,0.05781076737218627
Schaefer200Subcortical,original,KOR,4.49614607435817,3.459810376668382e-06,2.968046923479406e-05
Schaefer200Subcortical,original,CB1,0.8014918042144887,0.21142349344275985,0.8696686953106452
Schaefer200Subcortical,inverted,CMRglu,2.271584048098624,0.011555822634084306,0.09490176034953424
Schaefer200Subcortical,inverted,SV2A,3.1845733879673994,0.0007248377375738352,0.006201151541415206
Schaefer200Subcortical,inverted,HDAC,1.8176270886943175,0.03456057422694031,0.2604631687061367
Schaefer200Subcortical,inverted,VMAT2,5.588808359009735,1.143165491462967e-08,9.806933909395354e-08
Schaefer200Subcortical,inverted,mGluR5,1.225913261089213,0.11011565894966058,0.632425673155123
Schaefer200Subcortical,inverted,NMDA,4.790032171669751,8.33772874916041e-07,7.152708884961001e-06
Schaefer200Subcortical,inverted,GABAa,2.2275120066713083,0.012956537133995414,0.1058460160628164
Schaefer200Subcortical,inverted,GABAa5,2.789618559930022,0.0026385085799428168,0.02241010512008179
Schaefer200Subcortical,inverted,NET,-4.584876028772208,0.9999977287206075,1.0
Schaefer200Subcortical,inverted,A4B2,2.3875783405126336,0.008479893860448721,0.07045225994001847
Schaefer200Subcortical,inverted,M1,3.6836762739714706,0.00011494708721892079,0.000985673243705465
Schaefer200Subcortical,inverted,VAChT,1.396729792914904,0.0812474207460222,0.5166189327690807
Schaefer200Subcortical,inverted,FDOPA,5.588808359009735,1.143165491462967e-08,9.806933909395354e-08
Schaefer200Subcortical,inverted,D1,5.588808359009735,1.143165491462967e-08,9.806933909395354e-08
Schaefer200Subcortical,inverted,D23,5.562745303410291,1.327816729977369e-08,1.1391011112138472e-07
Schaefer200Subcortical,inverted,DAT,0.5194285248097414,0.3017309719552185,0.9540897178416065
Schaefer200Subcortical,inverted,5HT1a,0.8933838367708998,0.1858258276918317,0.8285782360088004
Schaefer200Subcortical,inverted,5HT1b,1.3462914647775355,0.08910426868311866,0.550953094771079
Schaefer200Subcortical,inverted,5HT2a,3.6558789189747283,0.00012815115775789305,0.0010988433967341615
Schaefer200Subcortical,inverted,5HT4,5.588808359009735,1.143165491462967e-08,9.806933909395354e-08
Schaefer200Subcortical,inverted,5HT6,5.561412782040416,1.3379970424069326e-08,1.147834548520521e-07
Schaefer200Subcortical,inverted,5HTT,3.2254656006366558,0.0006288397432995542,0.005381823500118732
Schaefer200Subcortical,inverted,MOR,5.588808359009735,1.143165491462967e-08,9.806933909395354e-08
Schaefer200Subcortical,inverted,KOR,1.1607110483797838,0.12287971363700734,0.6752728765758551
Schaefer200Subcortical,inverted,CB1,5.546909241291952,1.4538178629580477e-08,1.2471943577896383e-07
